"Country","Variable","Variant","Year","Value"
"Northern America","Population (thousands)","High variant","2070",598064
"Northern America","Population (thousands)","Low variant","2070",387782
"Northern America","Population (thousands)","Constant-fertility variant","2070",478476
"Northern America","Population (thousands)","Medium variant","2075",493311
"Northern America","Population (thousands)","High variant","2075",625008
"Northern America","Population (thousands)","Low variant","2075",383322
"Northern America","Population (thousands)","Constant-fertility variant","2075",485897
"Northern America","Population (thousands)","Medium variant","2080",501289
"Northern America","Population (thousands)","High variant","2080",653580
"Northern America","Population (thousands)","Low variant","2080",377343
"Northern America","Population (thousands)","Constant-fertility variant","2080",492530
"Northern America","Population (thousands)","Medium variant","2085",508582
"Northern America","Population (thousands)","High variant","2085",683462
"Northern America","Population (thousands)","Low variant","2085",369971
"Northern America","Population (thousands)","Constant-fertility variant","2085",498403
"Northern America","Population (thousands)","Medium variant","2090",515233
"Northern America","Population (thousands)","High variant","2090",714146
"Northern America","Population (thousands)","Low variant","2090",361550
"Northern America","Population (thousands)","Constant-fertility variant","2090",503594
"Northern America","Population (thousands)","Medium variant","2095",521231
"Northern America","Population (thousands)","High variant","2095",745284
"Northern America","Population (thousands)","Low variant","2095",352339
"Northern America","Population (thousands)","Constant-fertility variant","2095",508068
"Northern America","Population (thousands)","Medium variant","2100",526428
"Northern America","Population (thousands)","High variant","2100",776793
"Northern America","Population (thousands)","Low variant","2100",342377
"Northern America","Population (thousands)","Constant-fertility variant","2100",511633

"Source: Population Division of the Department of Economic and Social Affairs of the United Nations Secretariat, World Population Prospects: The 2010 Revision, http://esa.un.org/unpd/wpp/index.htm For definition of variables, check the link Glossary of Demographic TermsSunday, January 01, 2012; 11:30:22 AM"
